County Name,Priority Area Number,Priority Area,Focus Area Number,Focus Area,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count/Rate,Average Number of Denominator/Rate,Measure Unit,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,2024 Objective,Objective Region,Data Years,Date Source
Cortland,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),117,507,Percent,23.1,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Delaware,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),144,694,Percent,20.7,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Dutchess,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),660,2912,Percent,22.7,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Erie,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2524,10773,Percent,23.4,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Essex,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),92,514,Percent,17.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Franklin,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),143,541,Percent,26.4,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Fulton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),198,752,Percent,26.3,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Genesee,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),153,694,Percent,22,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Greene,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),142,650,Percent,21.8,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Hamilton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,74,Percent,18.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Herkimer,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),159,721,Percent,22.1,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Jefferson,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),260,1092,Percent,23.8,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Lewis,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),62,290,Percent,21.4,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Livingston,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),134,640,Percent,20.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Madison,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),165,755,Percent,21.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Monroe,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1832,7596,Percent,24.1,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Montgomery,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),153,656,Percent,23.3,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Nassau,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1974,11520,Percent,17.1,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Niagara,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),630,2786,Percent,22.6,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Oneida,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),633,2759,Percent,22.9,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Onondaga,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1122,4878,Percent,23,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Ontario,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),253,1201,Percent,21.1,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Orange,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),809,3222,Percent,25.1,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Orleans,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),96,478,Percent,20.1,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Oswego,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),375,1318,Percent,28.5,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Otsego,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),149,715,Percent,20.8,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Putnam,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),175,848,Percent,20.6,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Rensselaer,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),379,1725,Percent,22,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Rockland,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),435,2348,Percent,18.5,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
St. Lawrence,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),313,1286,Percent,24.3,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Saratoga,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),471,2292,Percent,20.5,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Schenectady,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),408,1708,Percent,23.9,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Schoharie,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),69,358,Percent,19.3,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Schuyler,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),54,259,Percent,20.8,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Seneca,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),82,371,Percent,22.1,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Steuben,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),254,1269,Percent,20,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Suffolk,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2964,13792,Percent,21.5,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Sullivan,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),254,882,Percent,28.8,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Tioga,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),127,612,Percent,20.8,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Tompkins,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),168,725,Percent,23.2,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Ulster,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),432,1973,Percent,21.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Warren,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),168,768,Percent,21.9,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Washington,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),190,793,Percent,24,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Wayne,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),276,1039,Percent,26.6,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Westchester,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1409,7664,Percent,18.4,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Wyoming,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),97,441,Percent,22,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Yates,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),65,286,Percent,22.7,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Bronx,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3917,11138,Percent,35.2,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Kings,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4837,17828,Percent,27.1,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
New York,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2432,11147,Percent,21.8,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Queens,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3929,16219,Percent,24.2,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Richmond,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),934,4189,Percent,22.3,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
Long Island,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4938,25312,Percent,19.5,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
New York City,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16049,60521,Percent,26.5,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Mid-Hudson,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4174,19849,Percent,21,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Capital Region,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2249,10196,Percent,22.1,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Mohawk Valley,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),728,3202,Percent,22.7,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
North Country,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),855,3608,Percent,23.7,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Tug Hill Seaway,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),635,2668,Percent,23.8,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Central NY,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2613,11103,Percent,23.5,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Southern Tier,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1212,5191,Percent,23.3,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Finger Lakes,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3234,13809,Percent,23.4,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Western NY,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4318,18527,Percent,23.3,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
New York State (excluding NYC),0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),24956,113465,Percent,22,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
New York State,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),41005,173986,Percent,23.6,,,,,22.8,New York State,2022,"Vital Records, data as of March 2025"
Albany,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",44.9,18.1,Difference in percents,26.8,,,,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Allegany,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",50,21.7,Difference in percents,28.3,,,Unstable Estimate,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Broome,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",57.1,22.9,Difference in percents,34.2,,,,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Cattaraugus,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",64.3,23.1,Difference in percents,41.2,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Cayuga,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",36.8,22.1,Difference in percents,14.7,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Chautauqua,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",53.6,22.5,Difference in percents,31.1,,,,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Chemung,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",37.7,23.2,Difference in percents,14.5,,,,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Chenango,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",50,22.9,Difference in percents,27.1,,,Unstable Estimate,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Clinton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",30,25.9,Difference in percents,4.1,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Columbia,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",46.9,19.5,Difference in percents,27.4,,,,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Cortland,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",50,23.2,Difference in percents,26.8,,,Unstable Estimate,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Delaware,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",25,20.8,Difference in percents,4.2,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Dutchess,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",37.8,19.3,Difference in percents,18.5,,,,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Erie,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",41.2,18.8,Difference in percents,22.4,,,,21.6 -< 31.1 : Q3,17.3,New York State,2022,"Vital Records, data as of March 2025"
Essex,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",100,17.4,Difference in percents,82.6,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Franklin,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",85.7,24.9,Difference in percents,60.8,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Fulton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",46.2,25.6,Difference in percents,20.6,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Genesee,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",58.3,20.8,Difference in percents,37.5,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Greene,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",38.9,20.1,Difference in percents,18.8,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Hamilton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",0,17.8,Difference in percents,-17.8,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
Herkimer,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",60,21.2,Difference in percents,38.8,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Jefferson,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",60,23.1,Difference in percents,36.9,,,Unstable Estimate,31.1+ : Q4,17.3,New York State,2022,"Vital Records, data as of March 2025"
Lewis,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1.1,pa1.1_0,"Premature deaths (before age 65 years), difference in percentages between Black non-Hispanics and White non-Hispanics",0,20.8,Difference in percents,-20.8,,,Unstable Estimate,< 21.6 : Q1 - Q2,17.3,New York State,2022,"Vital Records, data as of March 2025"
